,AGE,ST004D01T,ST001D01T,ESCS,ICTRES,DURECEC,EXPECEDU,MISCED,IMMIG,PV1MATH,PV1READ,PV1SCIE,PV1MCCR,PV1MCQN,PV1MCSS,PV1MCUD,PV1MPEM,PV1MPFS,PV1MPRE,MATHMOT,MATHEASE,MATHPREF,MATHEFF,MATHEF21,MATHPERS,FAMCON,SDLEFF,COGACRCO,COGACMCO,CURIOAGR,ASSERAGR,COOPAGR,EMOCOAGR,EMPATAGR,PERSEVAGR,STRESAGR
0,16.08,Male,Grade 10,-0.3405,0.5166,Attended ECEC for at least two but less than three years,No Response,ISCED level 5,Native student,356.385,484.24,422.131,371.095,409.151,442.545,412.98,400.986,424.48,386.01,Not more motivated to do well in mathematics than other subjects,Perception of mathematics as easier than other subjects,Preference for mathematics over other subjects,1.264,1.7646,2.1358,0.347,No Response,-0.2513,1.0318,-0.9067,-0.7522,1.1532,1.1828,-0.985,1.2047,0.5467
1,15.67,Female,Grade 10,0.0595,Not Applicable,Attended ECEC for at least two but less than three years,ISCED Level 3.3,ISCED level 6,Native student,365.035,313.469,383.843,413.011,411.296,392.788,510.638,372.346,346.536,399.536,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.8286,-0.2165,-0.9028,-0.6322,-0.9515,-0.9899,-1.3089,-1.4744,-0.588,-0.3879,-0.1592,-1.4696,-0.9397,-0.3257
2,15.58,Male,Grade 10,-0.6092,-1.7549,No Response,No Response,ISCED level 4,Native student,375.074,366.739,314.968,362.751,297.322,333.483,349.709,347.396,356.778,355.94,No Response,No Response,No Response,No Response,No Response,No Response,Not Applicable,No Response,No Response,No Response,No Response,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
3,16.0,Male,Grade 9,0.1284,Not Applicable,No Response,ISCED Level 6,ISCED level 6,Native student,467.89,412.018,428.813,454.0,405.597,467.422,406.985,482.25,485.913,495.736,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.4901,-0.7588,-0.4493,0.0189,-0.1255,-0.434,0.2829,-0.3566,0.7385,-0.7227,-0.4837,-0.7877,-0.7941,-0.2594
4,15.58,Male,Grade 10,1.0918,Not Applicable,Attended ECEC for at least two but less than three years,ISCED Level 6,ISCED level 6,Native student,480.515,378.581,425.013,499.632,499.247,494.987,478.824,544.698,545.382,509.843,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.1246,0.7803,0.306,-0.1499,0.1767,-0.0926,0.2742,-0.9005,0.3906,-0.3084,-0.7245,0.3715,-0.0296,-0.7723
5,15.83,Female,Grade 10,1.1571,Not Applicable,Attended ECEC for at least three but less than four years,ISCED Level 3.3,ISCED level 7,Native student,444.867,480.016,460.444,483.392,447.652,430.437,455.81,451.029,497.577,486.079,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-2.1763,-0.4158,-1.1364,-0.1077,No Response,-0.3474,-1.0935,No Response,No Response,No Response,No Response,No Response,No Response,No Response
6,16.17,Female,Grade 10,-1.9602,-1.8007,No Response,ISCED Level 8,ISCED level 1,Native student,388.16,375.211,390.668,437.804,417.661,450.957,451.039,417.41,385.952,394.014,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,Not Applicable,-0.1107,0.3656,Not Applicable,-0.8584,1.0284,1.2348,0.0649,Not Applicable,Not Applicable,-0.8651,Not Applicable,Not Applicable,Not Applicable
7,15.5,Female,Grade 10,-2.27,-1.5432,Attended ECEC for at least two but less than three years,No Response,Less than ISCED Level 1,Native student,428.647,389.468,381.904,481.747,414.901,362.174,469.487,418.646,373.401,460.458,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.0701,-0.7733,-0.6305,-1.526,No Response,-0.9768,-1.3966,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
8,15.42,Female,Grade 10,-3.793,Not Applicable,Attended ECEC for at least six but less than seven years,No Response,ISCED level 1,Native student,351.774,402.649,364.333,359.359,331.311,363.129,352.149,370.864,307.438,291.535,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.1612,-0.5901,0.1695,Not Applicable,No Response,-0.1451,-0.125,0.2841,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
9,16.25,Female,Grade 9,-2.8541,-3.7883,Attended ECEC for at least two but less than three years,ISCED Level 3.4,ISCED level 2,Native student,310.722,227.528,322.729,332.586,249.129,294.234,240.906,282.613,214.408,205.804,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,Not Applicable,0.7733,0.2371,Not Applicable,-0.9591,No Response,2.5731,0.1805,Not Applicable,0.2542,-0.597,Not Applicable,Not Applicable,Not Applicable
10,16.17,Female,Grade 10,-3.6415,-2.6528,No Response,ISCED level 7 ,Less than ISCED Level 1,Native student,369.917,395.123,406.244,425.265,407.657,414.193,338.387,470.258,381.696,351.703,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,Not Applicable,-0.0493,-0.9032,Not Applicable,-0.4977,-0.7429,-0.1912,0.0675,Not Applicable,Not Applicable,-0.3852,Not Applicable,Not Applicable,Not Applicable
11,15.92,Male,Grade 10,-0.73,Not Applicable,Attended ECEC for less than a year,ISCED Level 6,ISCED level 5,Native student,452.799,389.546,532.258,512.132,564.053,517.611,516.42,494.43,509.312,514.638,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-1.2007,0.0192,-0.5883,-0.993,-0.5398,-0.3888,0.4197,-0.8003,0.1312,-0.9675,-0.0789,-0.3511,-0.6115,-0.1849
12,15.75,Male,Grade 9,-2.2141,-1.5035,Attended ECEC for at least three but less than four years,ISCED Level 8,ISCED level 2,Native student,286.236,303.105,264.527,329.535,325.656,334.655,301.496,273.244,342.255,272.412,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,Not Applicable,-1.9748,-1.0127,Not Applicable,No Response,-2.402,-1.9603,1.1601,Not Applicable,Not Applicable,0.0358,Not Applicable,Not Applicable,Not Applicable
13,16.08,Female,Grade 10,0.6893,Not Applicable,No Response,ISCED Level 8,ISCED level 6,Native student,472.769,430.753,514.378,453.68,418.077,411.017,453.19,466.141,425.573,478.386,Not more motivated to do well in mathematics than other subjects,No perception of mathematics as easier than other subjects,No preference for mathematics over other subjects,-0.5882,-1.7308,-0.6431,0.7534,0.7159,2.0168,-0.7806,-0.2568,-0.438,1.0415,0.9656,1.8973,-0.2506,0.6214
14,16.25,Female,Grade 11,0.9194,0.5772,Attended ECEC for at least three but less than four years,ISCED Level 5,ISCED level 5,First-Generation student,547.55,582.674,533.846,502.358,554.743,517.626,515.308,516.327,550.087,510.608,Not more motivated to do well in mathematics than other subjects,Perception of mathematics as easier than other subjects,Preference for mathematics over other subjects,0.3479,0.6868,0.025,3.6977,1.16,-1.9081,-0.6157,0.0174,0.2915,-0.4106,1.2535,-0.4868,0.3765,1.862
